file,label,x,y,dx,dy,code,phase,
1148,person13,956,187,958.6978,-188.7589,0,6,
1148,person13,317,174,134.3527,-361.717,0,6,
1148,person13,314,540,116.7563,178.6977,0,6,
1148,person13,317,902,101.0448,704.4575,0,6,
1148,person13,957,899,903.1031,643.4215,0,6,
1148,person13,1604,899,1688.9766,704.6808,0,6,
1148,person13,1599,540,1750.7,276.0823,0,6,
1148,person13,1606,179,1852.1659,-178.3761,0,6,
1152,person20,964,538,874.3666,589.4667,0,1,
1152,person20,959,185,872.1578,247.0081,0,1,
1152,person20,321,181,255.2614,231.3274,0,1,
1152,person20,323,539,195.0389,533.0206,0,1,
1152,person20,319,903,140.3408,1013.796,0,1,
1152,person20,954,903,958.5356,806.2101,0,1,
1152,person20,1604,901,1593.3038,992.6223,0,1,
1152,person20,1597,540,1693.6497,497.4108,0,1,
1152,person20,1597,178,1684.1958,148.5146,0,1,
1152,person20,1120,846,1095.6056,576.9758,0,2,
1152,person20,268,700,491.6812,540.9104,0,2,
1152,person20,624,578,568.3583,534.7558,0,2,
1152,person20,629,827,589.3779,871.9381,0,2,
1152,person20,1176,562,1179.4725,549.629,0,2,
1152,person20,1015,834,1017.436,320.9183,0,2,
1152,person20,1852,606,1818.3615,656.0651,0,2,
1152,person20,775,548,525.4680000000001,582.8789,0,3,
1152,person20,262,693,209.4237,679.1923,0,3,
1152,person20,740,583,839.4927,535.7983,0,3,
1152,person20,1258,565,1301.0225,564.3516,0,3,
1152,person20,1016,826,1003.4621,768.8735,0,3,
1152,person20,1794,633,1316.7028,416.9898,0,3,
1152,person20,1422,572,1387.5194,538.1437,0,4,
1152,person20,1257,570,1333.7379,564.7956,0,4,
1152,person20,1294,700,1160.2761,583.5668,0,4,
1152,person20,1099,551,1152.9061,551.3382,0,4,
1152,person20,735,562,732.7056,524.9352,0,4,
1152,person20,547,584,411.3035,569.2342,0,4,
1152,person20,632,853,572.9086,762.8109,0,4,
1152,person20,937,729,1170.4213,602.0764,0,4,
1152,person20,1018,840,994.0834,765.9527,0,4,
1152,person20,1151,602,1157.9624,562.7302,0,4,
1152,person20,1161,680,1152.3368,566.0092,0,4,
1152,person20,289,710,779.5782,325.6572,0,4,
1152,person20,1856,676,1555.2881,499.5896,0,4,
1152,person20,392,575,316.4763,577.9034,0,5,
1152,person20,510,575,443.5064,547.4406,0,5,
1152,person20,245,702,281.5962,664.8245,0,5,
1152,person20,325,727,274.5554,744.1274,0,5,
1152,person20,1745,468,1068.394,268.0183,0,5,
1152,person20,1745,468,1022.1517,264.9394,0,5,
1152,person20,1745,468,997.6981,262.3697,0,5,
1152,person20,383,601,493.8001,617.6919,0,5,
1152,person20,895,712,904.9645,633.7162,0,5,
1152,person20,273,712,229.1738,722.9796,0,5,
1152,person20,1345,718,1356.9386,715.7776,0,5,
1152,person20,507,575,460.1509,524.4904,0,5,
1152,person20,507,575,465.097,542.1235,0,5,
1152,person20,507,575,468.4487,542.9066,0,5,
1152,person20,507,575,464.6868,541.9442,0,5,
1152,person20,507,575,955.9876,303.1557,0,5,
1152,person20,507,575,1002.9683,263.6473,0,5,
1152,person20,430,686,904.4951,302.1328,0,5,
1152,person20,1834,694,1115.7446,294.191,0,5,
1152,person20,969,540,957.8762,485.2391,0,6,
1152,person20,957,180,978.7178,162.8633,0,6,
1152,person20,323,176,265.8541,136.3664,0,6,
1152,person20,328,542,234.6294,503.0442,0,6,
1152,person20,316,893,204.5785,870.36,0,6,
1152,person20,961,896,954.1458,726.7883,0,6,
1152,person20,1606,904,1634.0964,952.9069999999999,0,6,
1152,person20,1599,539,1639.9404,544.5378,0,6,
1152,person20,1596,176,1644.7889,205.5108,0,6,
1154,person3,964,534,900.4810000000001,520.7666,0,1,
1154,person3,967,185,907.9676,171.6723,0,1,
1154,person3,316,175,219.0005,146.2789,0,1,
1154,person3,319,545,190.68900000000002,556.6265,0,1,
1154,person3,317,901,173.2309,998.4459,0,1,
1154,person3,962,906,872.3717,911.9279,0,1,
1154,person3,1598,903,1605.2264,1001.9152,0,1,
1154,person3,1600,542,1607.5857,563.7341,0,1,
1154,person3,1598,176,1624.2905,180.7307,0,1,
1154,person3,575,710,398.1836,750.9813,0,2,
1154,person3,320,716,204.0544,774.577,0,2,
1154,person3,371,583,264.1724,603.6365,0,2,
1154,person3,1120,582,1105.2805,558.4454,0,2,
1154,person3,545,703,841.0551,390.9883,0,2,
1154,person3,1835,641,1025.4076,255.2831,0,2,
1154,person3,425,704,260.401,727.9941,0,3,
1154,person3,1194,750,1144.8169,721.35,0,3,
1154,person3,595,578,511.4387,578.2901,0,3,
1154,person3,623,541,533.0556,576.8977,0,3,
1154,person3,391,840,236.7554,926.7774,0,3,
1154,person3,884,596,826.368,606.1089,0,3,
1154,person3,1400,574,1375.6487,590.8812,0,3,
1154,person3,603,842,479.324,916.0108,0,3,
1154,person3,385,848,259.954,921.285,0,3,
